Date,Price,Open,High,Low ,Vol.,Change %
"Sep 16, 2014","10,980.14","10,890.46","11,001.21","10,883.69","-"   ,"0.65%"
"Sep 15, 2014","10,909.31","10,909.85","10,925.93","10,881.05","-"   ,"-0.02%"
"Sep 12, 2014","10,911.39","10,965.32","10,965.32","10,883.66","-"   ,"-0.59%"
"Sep 11, 2014","10,975.99","10,933.37","10,977.80","10,917.78","-"   ,"0.03%"
"Sep 10, 2014","10,972.21","10,946.70","10,974.98","10,909.65","-"   ,"0.24%"
"Sep 09, 2014","10,945.61","10,994.15","10,994.15","10,923.00","-"   ,"-0.56%"
"Sep 08, 2014","11,007.39","11,059.25","11,059.25","10,981.49","-"   ,"-0.60%"
"Sep 05, 2014","11,073.40","11,019.86","11,073.42","10,987.38","-"   ,"0.39%"
"Sep 04, 2014","11,030.40","11,070.20","11,108.39","11,003.81","-"   ,"-0.30%"
"Sep 03, 2014","11,063.55","11,081.76","11,095.72","11,050.79","-"   ,"0.23%"
"Sep 02, 2014","11,038.12","11,050.57","11,055.02","11,000.51","-"   ,"-0.07%"
"Aug 29, 2014","11,046.33","11,023.80","11,046.79","10,997.41","-"   ,"0.33%"
"Aug 28, 2014","11,009.70","10,999.74","11,017.66","10,977.06","-"   ,"-0.26%"
"Aug 27, 2014","11,037.89","11,042.12","11,045.64","11,018.37","-"   ,"0.11%"
"Aug 26, 2014","11,025.37","11,016.43","11,054.19","11,016.43","-"   ,"0.18%"
"Aug 25, 2014","11,005.36","10,976.74","11,024.38","10,976.74","-"   ,"0.53%"
"Aug 22, 2014","10,947.33","10,973.05","10,976.27","10,923.36","-"   ,"-0.32%"
"Aug 21, 2014","10,982.83","10,958.11","10,994.84","10,953.49","-"   ,"0.30%"
"Aug 20, 2014","10,949.48","10,909.33","10,957.92","10,898.42","-"   ,"0.18%"
"Aug 19, 2014","10,929.66","10,901.00","10,934.07","10,895.75","-"   ,"0.40%"
"Aug 18, 2014","10,886.51","10,824.26","10,886.54","10,824.26","-"   ,"0.84%"
"Aug 15, 2014","10,796.03","10,833.49","10,848.40","10,724.07","-"   ,"-0.06%"
"Aug 14, 2014","10,802.63","10,756.30","10,802.67","10,756.30","-"   ,"0.43%"
"Aug 13, 2014","10,756.18","10,731.91","10,768.48","10,717.49","-"   ,"0.47%"
"Aug 12, 2014","10,705.78","10,709.06","10,736.02","10,681.56","-"   ,"-0.16%"
"Aug 11, 2014","10,722.79","10,716.18","10,763.33","10,716.18","-"   ,"0.30%"
"Aug 08, 2014","10,691.10","10,591.07","10,693.56","10,572.95","-"   ,"1.01%"
"Aug 07, 2014","10,583.79","10,677.01","10,694.56","10,557.61","-"   ,"-0.65%"
"Aug 06, 2014","10,653.42","10,606.07","10,686.40","10,601.99","-"   ,"-0.04%"
"Aug 05, 2014","10,657.32","10,728.92","10,736.08","10,623.68","-"   ,"-1.02%"
"Aug 04, 2014","10,766.68","10,692.17","10,780.45","10,669.42","-"   ,"0.70%"
"Aug 01, 2014","10,692.16","10,699.81","10,756.06","10,642.88","-"   ,"-0.32%"
"Jul 31, 2014","10,726.43","10,866.31","10,866.31","10,726.38","-"   ,"-1.86%"
"Jul 30, 2014","10,929.79","10,957.98","10,974.18","10,887.09","-"   ,"-0.06%"
"Jul 29, 2014","10,936.70","11,005.30","11,014.83","10,936.68","-"   ,"-0.46%"
"Jul 28, 2014","10,987.24","10,984.36","10,997.99","10,933.21","-"   ,"0.01%"
"Jul 25, 2014","10,985.81","11,038.56","11,038.56","10,969.94","-"   ,"-0.48%"
"Jul 24, 2014","11,038.56","11,038.89","11,058.96","11,027.47","-"   ,"0.13%"
"Jul 23, 2014","11,023.90","11,027.38","11,035.15","11,006.52","-"   ,"0.07%"
"Jul 22, 2014","11,016.24","10,988.85","11,033.07","10,988.85","-"   ,"0.53%"
"Jul 21, 2014","10,957.67","10,951.18","10,966.98","10,912.51","-"   ,"-0.26%"
"Jul 18, 2014","10,985.92","10,908.42","10,995.75","10,908.42","-"   ,"0.88%"
"Jul 17, 2014","10,890.44","10,982.73","11,011.93","10,879.67","-"   ,"-1.16%"
"Jul 16, 2014","11,017.88","11,006.36","11,024.32","10,983.35","-"   ,"0.48%"
"Jul 15, 2014","10,965.64","10,995.68","11,017.92","10,927.73","-"   ,"-0.24%"
"Jul 14, 2014","10,991.47","10,980.18","11,006.09","10,980.18","-"   ,"0.50%"
"Jul 11, 2014","10,936.35","10,927.99","10,944.47","10,900.75","-"   ,"-0.05%"
"Jul 10, 2014","10,941.34","10,941.84","10,962.29","10,880.13","-"   ,"-0.58%"
